category_id,drink_id,drink_name,drink_en_name,drink_content,drink_zoomimg,drink_nutrition_info,kcal,fat,protein,sodium,sugars,caffeine,allergy,,,,,,,,
1,1,나이트로 바닐라 크림,Nitro Vanilla Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,http://image.istarbucks.co.kr/upload/store/skuimg/2019/09/[9200000002487]_20190919181354845.jpg,Tall(톨) / 355ml (12 fl oz),75,2,1,20,10,245,우유,,,,,,,,
1,2,나이트로 쇼콜라 클라우드,Nitro Chocolat Cloud,"초콜릿과 견과류의 풍미, 초콜릿 파우더 토핑, 하프&하프 샷
부드럽고 달콤한 새로운 나이트로 콜드 브루",http://image.istarbucks.co.kr/upload/store/skuimg/2018/04/[9200000001275]_20180409150826100.jpg,Tall(톨) / 355ml (12 fl oz),55,2,1,20,7,245,우유,,,,,,,,
1,3,나이트로 콜드 브루,Nitro Cold Brew,"나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.
",http://image.istarbucks.co.kr/upload/store/skuimg/2017/03/[9200000000479]_20170328134443541.jpg,Tall(톨) / 355ml (12 fl oz),5,0,0,5,0,245,,,7,8,9,10,11,12,13
1,4,돌체 콜드 브루,Dolce Cold Brew,"무더운 여름철, 
동남아 휴가지에서 즐기는 커피를 떠오르게 하는 
스타벅스 음료의 베스트 x 베스트 조합인
돌체 콜드 브루를 만나보세요! ",http://image.istarbucks.co.kr/upload/store/skuimg/2019/04/[9200000002081]_20190409153909859.jpg,Tall(톨) / 355ml (12 fl oz),265,9,8,115,29,150,우유,,,,,,,,
1,5,바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,http://image.istarbucks.co.kr/upload/store/skuimg/2017/04/[9200000000487]_20170405152830688.jpg,Tall(톨) / 355ml (12 fl oz),125,6,3,58,11,150,우유,,,,,,,,
1,6,제주 비자림 콜드 브루,Jeju Forest Cold Brew,"[제주지역 한정음료] 제주 천년의 숲 비자림을 연상시키는 
음료로 제주에서 유기농 말차로 만든 
파우더와 Cold Brew를 활용한 음료.
더욱 시원하고 새로운 Cold Brew를 제주에서 즐겨보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2020/02/[9200000002672]_20200220135658610.jpg,Grande(그란데) / 473ml (16 fl oz),340,8,10,115,44,105,,,,,,,,,
1,7,콜드 브루,Cold Brew,"스타벅스 바리스타의 정성으로 탄생한 콜드 브루!

콜드 브루 전용 원두를 차가운 물로 14시간 동안 추출하여 한정된 양만 제공됩니다.
깊은 풍미의 새로운 커피 경험을 즐겨보세요.",http://image.istarbucks.co.kr/upload/store/skuimg/2016/04/[9200000000038]_20160408135802812.jpg,Tall(톨) / 355ml (12 fl oz),5,0,0,11,0,150,,,,,,,,,
1,8,콜드 브루 몰트,Cold Brew Malt,"[리저브 전용음료] 리저브 콜드 브루, 바닐라 아이스크림, 몰트가 블렌딩된 리저브만의 쉐이크
",http://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001636]_20180726125513041.jpg,Tall(톨) / 355ml (12 fl oz),510,20,10,147.8,40,150,대두 / 우유,,,,,,,,
1,9,콜드 브루 플로트,Cold Brew Float,[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,http://image.istarbucks.co.kr/upload/store/skuimg/2018/07/[9200000001635]_20180726125607731.jpg,Tall(톨) / 355ml (12 fl oz),230,10,3,69,18,150,우유,,,,,,,,
2,10,아이스 커피,Iced Coffee,깔끔하고 상큼함이 특징인 시원한 아이스 커피,http://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[106509]_20150724164325877.jpg,Tall(톨) / 355ml (12 fl oz),5,0,0,10,0,140,,,,,,,,,
2,11,오늘의 커피,Brewed Coffee,신선하게 브루드(Brewed)되어 원두의 다양함이 살아있는 커피,http://image.istarbucks.co.kr/upload/store/skuimg/2015/07/[2]_20150724164439044.jpg,Tall(톨) / 355ml (12 fl oz),5,0,0,10,0,260,,,,,,,,,
3,12,에스프레소 콘 파나,Espresso Con Panna,에스프레소 샷에 풍부한 휘핑크림을 얹은 강렬하고 달콤한 음료,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[30]_20150813221811147.jpg,Solo(솔로) / 22ml (0.75 fl oz),30,1.5,0,0,1,75,우유,,,,,,,,
3,13,에스프레소 마키아또,Espresso Macchiato,강렬한 에스프레소 위에 소량의 우유 거품이 얹어진 음료,http://image.istarbucks.co.kr/upload/store/skuimg/2015/08/[25]_20150813221101602.jpg,Solo(솔로) / 22ml (0.75 fl oz),10,0,1,0,0,75,우유,,,,,,,,
